date,daily_return,close,nav,volume
2023-03-02,0,25665,25659.58,122579
2023-03-03,0.29222676797193703,25740,25773.07,85565
2023-03-06,2.0396270396270344,26265,26262.24,169238
2023-03-07,-0.6853226727584261,26085,26085.59,112681
2023-03-08,-1.0542457350968037,25810,25873.55,135715
2023-03-09,-0.5230530802014743,25675,25695.04,99485
2023-03-10,-3.3106134371957197,24825,24819.62,186830
2023-03-13,0.40281973816715944,24925,24989.94,105849
2023-03-14,-4.332998996990978,23845,23845.84,177310
2023-03-15,0.0,23845,23854.65,99873
2023-03-16,2.075906898720903,24340,24360.14,165633
2023-03-17,5.423171733771559,25660,25649.12,371730
2023-03-20,0.3312548713951591,25745,25752.41,199150
2023-03-21,-1.0875898232666548,25465,25458.67,115190
2023-03-22,2.022383663852345,25980,26018.18,166556
2023-03-23,0.442648190916084,26095,26157.99,290432
2023-03-24,4.349492239892694,27230,27225.01,610847
2023-03-27,-0.03672420124862796,27220,27208.56,411903
2023-03-28,3.232916972814115,28100,28121.39,581785
2023-03-29,0.92526690391459,28360,28377.65,423391
2023-03-30,2.0803949224259544,28950,28932.97,719319
2023-03-31,0.6217616580310947,29130,29132.23,554206
2023-04-03,-0.8067284586337098,28895,28891.37,539858
2023-04-04,-2.301436234642673,28230,28296.27,422409
2023-04-05,0.12398157987956182,28265,28249.48,267247
2023-04-06,-1.9989386166637146,27700,27750.27,301519
2023-04-07,4.476534296028878,28940,28921.8,586663
2023-04-10,-0.36281962681409263,28835,28801.43,445878
2023-04-11,2.0981446159181516,29440,29438.24,686697
2023-04-12,-0.8491847826086918,29190,29151.16,478332
2023-04-13,-1.2675573826652964,28820,28902.39,290816
2023-04-14,-0.2775850104094424,28740,28738.76,237259
2023-04-17,-0.4871259568545616,28600,28599.08,278921
2023-04-18,-1.4860139860139898,28175,28178.66,234917
2023-04-19,0.2661934338952898,28250,28240.43,238799
2023-04-20,-1.9469026548672552,27700,27703.05,261392
2023-04-21,1.7328519855595692,28180,28175.91,318588
2023-04-24,-2.3243435060326445,27525,27576.33,250922
2023-04-25,-1.416893732970026,27135,27162.38,316071
2023-04-26,1.1424359683066099,27445,27311.43,261508
2023-04-27,0.3825833485152197,27550,27567.72,180035
2023-04-28,-0.14519056261342866,27510,27581.91,405372
2023-05-02,0.16357688113413094,27555,27633.79,162177
2023-05-03,1.4153511159499255,27945,27956.02,141276
2023-05-04,-1.6997674002504959,27470,27481.44,143247
2023-05-08,0.4550418638514797,27595,27680.7,133013
2023-05-09,-1.2683457148034094,27245,27252.75,158750
2023-05-10,-0.6973756652596808,27055,27043.65,141843
2023-05-11,-0.9055627425614499,26810,26845.17,164197
2023-05-12,0.6527415143603221,26985,26992.79,182263
2023-05-15,-1.5193626088567669,26575,26568.2,241094
2023-05-16,1.2041392285983,26895,26869.38,170671
2023-05-17,1.7661275329986958,27370,27385.29,129842
2023-05-18,2.1739130434782705,27965,27988.6,297923
2023-05-19,5.1314142678347885,29400,29450.27,1081044
2023-05-22,-0.11904761904761862,29365,29426.14,491785
2023-05-23,-0.30648731483058356,29275,29314.69,356387
2023-05-24,-0.5123825789923098,29125,29144.04,241601
2023-05-25,1.6309012875536544,29600,29619.37,758118
2023-05-26,1.908783783783785,30165,30238.9,1094342
2023-05-30,1.8896071606166132,30735,30787.99,599879
2023-05-31,-0.6181877338539143,30545,30565.99,691895
2023-06-01,0.7693566868554491,30780,30776.14,419373
2023-06-02,-0.5360623781676455,30615,30675.52,545422
2023-06-05,-1.0942348521966405,30280,30368.15,299795
2023-06-07,0.6605019815059343,30480,30460.93,239525
2023-06-08,0.45931758530184386,30620,30709.62,334012
2023-06-09,2.9719137818419394,31530,31566.62,642115
2023-06-12,-0.634316523945444,31330,31375.21,368794
2023-06-13,2.5375039897861384,32125,32209.1,838808
2023-06-14,-1.3696498054474704,31685,31709.39,552064
2023-06-15,2.4459523433801422,32460,32531.03,530678
2023-06-16,0.030807147258160583,32470,32473.68,366143
2023-06-19,-1.1241145672928887,32105,32173.07,293077
2023-06-20,0.9967294813892025,32425,32454.0,317625
2023-06-21,-2.066306861989209,31755,31843.67,421468
2023-06-22,-0.5196032120925786,31590,31609.64,273477
2023-06-23,0.18993352326686086,31650,31724.07,332707
2023-06-26,1.453396524486572,32110,32161.23,319009
2023-06-27,-0.513858611024598,31945,32000.23,335494
2023-06-28,0.8765064955392088,32225,32276.48,312435
2023-06-29,1.0085337470907785,32550,32628.48,451529
2023-06-30,-0.8602150537634357,32270,32245.65,623291
2023-07-03,1.9677719243879732,32905,32934.89,558589
2023-07-04,0.3342956997416824,33015,33005.72,302776
2023-07-05,-0.8480993487808619,32735,32736.9,263956
2023-07-06,-3.43668855964564,31610,31698.5,628486
2023-07-07,-1.6134134767478603,31100,31110.3,480671
2023-07-10,-1.8971061093247643,30510,30549.74,467694
2023-07-11,2.9170763684037926,31400,31450.26,225510
2023-07-12,2.3566878980891826,32140,32138.6,402646
2023-07-13,1.8823895457374062,32745,32828.46,462252
2023-07-14,3.5730645900137414,33915,34033.38,2120086
2023-07-17,1.1499336576735963,34305,34321.66,697448
2023-07-18,0.2332021571199494,34385,34454.93,577981
2023-07-19,-1.192380398429549,33975,34055.94,1223254
2023-07-20,0.8977189109639516,34280,34370.23,1008935
2023-07-21,-2.202450408401402,33525,33608.66,704374
2023-07-24,-0.7158836689038051,33285,33358.73,833933
2023-07-25,0.13519603424965165,33330,33305.89,578136
2023-07-26,-2.6702670267026662,32440,32384.7,1582497
2023-07-27,6.750924784217016,34630,34601.9,1693603
2023-07-28,1.7470401386081358,35235,35331.26,1087935
2023-07-31,-0.4399035050376088,35080,35058.08,1114570
2023-08-01,1.0547320410490224,35450,35555.35,909816
2023-08-02,-4.471086036671368,33865,33929.99,850771
2023-08-03,0.7086962941089681,34105,34167.31,814856
2023-08-04,-0.454478815422954,33950,33974.52,309087
2023-08-07,-0.0589101620029453,33930,33897.48,354948
2023-08-08,-2.151488358384912,33200,33284.22,481329
2023-08-09,0.3162650602409611,33305,33379.13,390145
2023-08-10,-1.5763398889055646,32780,32811.26,1095427
2023-08-11,-0.2593044539353273,32695,32725.58,349101
2023-08-14,-1.544578681755615,32190,32254.89,336265
2023-08-16,0.6057781919850846,32385,32471.38,814499
2023-08-17,0.6021306160259421,32580,32568.09,408059
2023-08-18,2.1485573971761873,33280,33322.6,510323
2023-08-21,-0.18028846153845812,33220,33244.04,296567
2023-08-22,-1.5352197471402818,32710,32732.56,407943
2023-08-23,0.030571690614489277,32720,32758.93,261030
2023-08-24,2.460268948655253,33525,33517.52,718327
2023-08-25,-3.310961968680093,32415,32450.48,568749
2023-08-28,0.01542495758135587,32420,32473.96,176868
