,date,daily_return,close,nav
0,2023-03-02,,31815,32082.58
1,2023-03-03,0.31431714600032024,31915,32092.38
2,2023-03-06,0.8616637944540262,32190,32550.9
3,2023-03-07,0.45045045045044585,32335,32436.59
4,2023-03-08,-1.5927014071439594,31820,31993.74
5,2023-03-09,-0.1414204902577043,31775,31857.31
6,2023-03-10,-1.6050354051927562,31265,31515.45
7,2023-03-13,-0.1919078842155808,31205,31772.61
8,2023-03-14,-0.9133151738503487,30920,31009.01
9,2023-03-15,0.8408796895213344,31180,31361.41
10,2023-03-16,-1.0423348300192425,30855,31290.45
11,2023-03-17,1.6204829039053736,31355,31660.26
12,2023-03-20,-0.03189284005741255,31345,31401.08
13,2023-03-21,0.0478545222523552,31360,31488.81
14,2023-03-22,0.78125,31605,31865.01
15,2023-03-23,-0.15820281601012232,31555,32027.35
16,2023-03-24,0.269370939629221,31640,31881.62
17,2023-03-27,-0.4266750948166864,31505,31735.23
18,2023-03-28,0.7300428503412171,31735,32086.91
19,2023-03-29,0.47266425082717056,31885,32152.52
20,2023-03-30,0.7683863885839637,32130,32335.13
21,2023-03-31,0.7625272331154731,32375,32752.16
22,2023-04-03,0.3088803088802994,32475,32585.47
23,2023-04-04,0.10777521170131088,32510,32720.88
24,2023-04-05,0.384497077822199,32635,32903.29
25,2023-04-06,-1.1490730810479577,32260,32327.43
26,2023-04-07,0.7749535027898435,32510,32882.61
27,2023-04-10,0.7843740387573073,32765,33184.73
28,2023-04-11,1.3428963833358676,33205,33634.41
29,2023-04-12,0.8733624454148492,33495,33756.52
30,2023-04-13,-0.1492760113449787,33445,33856.52
31,2023-04-14,0.9418448198534879,33760,33914.67
32,2023-04-17,-0.1332938388625582,33715,33939.4
33,2023-04-18,-0.29660388551090433,33615,33897.76
34,2023-04-19,0.49085229808121245,33780,33925.16
35,2023-04-20,-0.4588513913558301,33625,33813.83
36,2023-04-21,-0.49070631970260514,33460,33641.02
37,2023-04-24,-0.40346682606097195,33325,33415.61
38,2023-04-25,-1.680420105026259,32765,32993.16
39,2023-04-26,0.19838242026553043,32830,32496.22
40,2023-04-27,-2.0408163265306145,32160,32608.52
41,2023-04-28,1.0261194029850706,32490,32750.42
42,2023-05-02,0.5694059710680266,32675,33014.5
43,2023-05-03,-0.16832440703902218,32620,32755.74
44,2023-05-04,-0.5058246474555439,32455,32718.9
45,2023-05-08,1.2940995224156593,32875,32993.7
46,2023-05-09,-0.34980988593156237,32760,32925.58
47,2023-05-10,-0.6868131868131844,32535,32706.44
48,2023-05-11,0.12294452128476241,32575,32630.57
49,2023-05-12,-0.6753645433614786,32355,32462.44
50,2023-05-15,-0.4172461752433909,32220,32548.35
51,2023-05-16,0.9776536312849249,32535,32634.14
52,2023-05-17,-0.015368065160592526,32530,32764.62
53,2023-05-18,0.8761143559790963,32815,33088.4
54,2023-05-19,1.3560871552643627,33260,33528.85
55,2023-05-22,0.4960914010823769,33425,33733.09
56,2023-05-23,0.8676140613313343,33715,33815.57
57,2023-05-24,-0.3707548568886221,33590,33754.73
58,2023-05-25,-0.07442691277166347,33565,33639.87
59,2023-05-26,0.2085505735140769,33635,33815.75
60,2023-05-30,1.1743719339973202,34030,34249.18
61,2023-05-31,-0.17631501616220957,33970,34010.82
62,2023-06-01,-0.559317044450991,33780,33905.55
63,2023-06-02,0.799289520426294,34050,34366.22
64,2023-06-05,0.8663729809104348,34345,34489.83
65,2023-06-07,-0.07279079924297216,34320,34421.2
66,2023-06-08,-0.6410256410256387,34100,34372.97
67,2023-06-09,0.7038123167155463,34340,34777.38
68,2023-06-12,0.2329644729178737,34420,34555.06
69,2023-06-13,0.45031958163859187,34575,34738.39
70,2023-06-14,-0.4049168474331122,34435,34563.17
71,2023-06-15,-0.2758820967039388,34340,34417.2
72,2023-06-16,0.029120559114725886,34350,34617.2
73,2023-06-19,-0.26200873362445254,34260,34411.21
74,2023-06-20,-0.3064798598949259,34155,34355.19
75,2023-06-21,-0.5709266578831751,33960,34041.43
76,2023-06-22,-0.1914016489988235,33895,34209.42
77,2023-06-23,-0.11801150612185118,33855,33941.29
78,2023-06-26,-0.14768867227883398,33805,34134.62
79,2023-06-27,0.23665138293151866,33885,34129.46
80,2023-06-28,-0.2360926663715457,33805,33936.92
81,2023-06-29,0.16269782576541214,33860,33850.66
82,2023-06-30,-0.7088009450679222,33620,34006.63
83,2023-07-03,1.3831052944675681,34085,34521.47
84,2023-07-04,0.7334604664808619,34335,34371.01
85,2023-07-05,-0.8883063928935453,34030,34115.02
86,2023-07-06,-0.8815750808110479,33730,33831.44
87,2023-07-07,-1.6157723095167498,33185,33366.43
88,2023-07-10,0.0,33185,33292.96
89,2023-07-11,0.768419466626491,33440,33912.07
90,2023-07-12,0.9270334928229707,33750,34156.74
91,2023-07-13,1.6148148148148245,34295,34323.7
92,2023-07-14,0.4519609272488623,34450,34905.11
93,2023-07-17,0.537010159651663,34635,34786.5
94,2023-07-18,-0.5052692363216371,34460,34550.09
95,2023-07-19,-0.31921067904817635,34350,34522.9
96,2023-07-20,-0.4366812227074246,34200,34378.76
97,2023-07-21,-0.891812865497077,33895,34450.51
98,2023-07-24,0.9440920489747651,34215,34644.84
99,2023-07-25,0.6722197866432911,34445,34706.14
100,2023-07-26,-0.8128901146755685,34165,34268.95
101,2023-07-27,0.27806234450460376,34260,34612.62
102,2023-07-28,-0.10215995329830863,34225,34537.33
103,2023-07-31,0.9934258582907196,34565,34696.99
104,2023-08-01,0.4339649934905321,34715,35234.07
105,2023-08-02,-0.9217917326803993,34395,34512.53
106,2023-08-03,-0.9158307893589179,34080,34283.74
107,2023-08-04,0.08802816901407606,34110,34252.63
108,2023-08-07,-0.32248607446496713,34000,34095.59
109,2023-08-08,-0.6764705882352895,33770,33922.88
110,2023-08-09,0.3701510216168158,33895,34290.68
111,2023-08-10,0.22127157397846542,33970,34174.86
112,2023-08-11,0.014718869590812922,33975,34027.51
113,2023-08-14,-1.147902869757178,33585,33762.0
114,2023-08-16,-1.3249962781003433,33140,33255.69
